ID,SMILES,Standard value
1653,Nc1nc[nH]n1,0
2437,NC(=O)Nc1ccccc1,0
2457,O=C(O)c1ccccc1C(=O)OCc1ccccc1,0
107534-96-3,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,0
2247,O=c1nc(O)n(Cl)c(=O)n1Cl,0
6807-17-6,CC(C)CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0
1498,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(NC(C)=O)c2c1O,0
2315,Cc1nn(-c2cc(NS(C)(=O)=O)c(Cl)cc2Cl)c(=O)n1C(F)F,0
1897-45-6,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0
1778,COc1nc(NC(C)C)nc(NC(C)C)n1,0
2007,CC1OC=CC(=O)C1=O,0
570,Cc1cc(Cl)ccc1OC(C)C(=O)O,0
1626,c1ccc(CCCc2ccccn2)cc1,0
2214,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0
1561,CCCCCCCCCC(=O)O,0
1713,CC(=O)OCCC(C)C,0
423,CC(=O)OC1CC(C)OC(C)O1,0
51218-45-2,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,1
1957,Oc1cccc(O)c1,0
1769,CC(C)(C)c1cccc(O)c1,0
2350,CCCCCC1CCC(=O)O1,0
2195,ClC=CCl,0
36734-19-7,CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,1
2326,CCN(CC)C(=O)c1cccc(C)c1,0
88671-89-0,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,0
1198,OCC=Cc1ccccc1,0
2004,CC(O)CN,0
685,Cc1ccc(C(C)c2ccc(C)c(C)c2)cc1C,0
2204,CCCCOCC1CO1,0
2252,C=CC[N+](C)(C)CC=C,0
1734,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,0
1689-82-3,O=C1C=CC(=NNc2ccccc2)C=C1,0
1907,CC(C)=CCCC(C)=CC#N,0
1353,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
1663,O=CC=Cc1ccccc1,0
2250,O=[N+]([O-])c1ccc(Cl)cc1,0
451,CC1CC(O)CC(C)(C)C1,0
2248,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,0
1921,CCC(=O)OC1CC2CCC1(C)C2(C)C,0
52645-53-1,CC1(C)[C@H](C(=O)OCc2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Cl)Cl,1
1157,CC(=O)C=C(C)C,0
1055,COc1ccc(O)cc1,0
2192,O=C(O)c1ccccc1O,0
2254,C[N+]1(C)CCCCC1,0
1810,OCC(O)C(O)C(O)C(O)CO,0
7696-12-0,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C,0
2231,CC12CCC(CC1=O)C2(C)C,0
2316,Cc1c(C(=O)c2cnn(C)c2O)ccc(S(C)(=O)=O)c1C1=NOCC1,0
2188,N#Cc1cccnc1,0
2187,COC(=O)CC(=O)OC,0
1899,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0
2189,COC(=O)c1ccccc1C,0
1770,CC(C)COC(=O)CCCCC(=O)OCC(C)C,0
2268,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,0
1802,CCCCCCCCN(C)CCCCCCCC,0
2263,C1N2CN3CN1CN(C2)C3,0
2455,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0
2264,c1c[nH]cn1,0
2402,COc1nn(C(=O)NS(=O)(=O)c2ccccc2OC(F)(F)F)c(=O)n1C,0
1723,O=C(O)CC(O)C(=O)O,0
1865,CC(C)c1cc(C(C)C)cc(C(C)C)c1,0
1826,BrCCBr,0
2306,Cc1ccc(C)c(C)c1,0
709,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,0
592,CCCCCCCCC(CO)CCCCCC,0
2324,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,0
2014,CCc1ccccc1O,0
2270,CC(=O)c1ccccc1,0
1432,O=C(O)CS,0
1779,CCCCC(CC)COCCO,0
2367,CCCCCCOCCO,0
1771,CCC1OC=CC(=O)C1=O,0
2388,CCOCCOCCO,0
2340,CCC1(C)NC(=O)NC1=O,0
2351,CCCCCCC(=O)O,0
2438,NC(=O)NC1NC(=O)NC1=O,0
2436,NC(=O)c1ccccc1O,0
1412,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0
85-60-9,CCCC(c1cc(C(C)(C)C)c(O)cc1C)c1cc(C(C)(C)C)c(O)cc1C,0
914,O=C(OCCc1ccccc1)c1ccccc1,0
1817,OC1CCCCCCCCCCC1,0
1866,Cc1cccc([N+](=O)[O-])c1C,0
17804-35-2,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,1
2431,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,0
1071-83-6,O=C(O)CNCP(=O)(O)O,0
2289,CC(C)CCCC(C)(C)O,0
2374,CCCO,0
358,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0
1822,CN(C)c1cccc(O)c1,0
68359-37-5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,1
2449,O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,0
2433,N#CCCCCC#N,0
2312,Cc1ccc(S(=O)(=O)NCl)cc1,0
1131-60-8,Oc1ccc(C2CCCCC2)cc1,0
1587,CNC(=O)CSP(=S)(OC)OC,0
2170,c1ccc2occc2c1,0
101-53-1,Oc1ccc(Cc2ccccc2)cc1,0
2190,NC(CO)(CO)CO,0
1661,CC(=O)OC(C)C,0
